0.140654, 0.000000, 0.000422, 0.000000
57908980219.665268, 47400000.000000, -59.340998, 47399.983809
108207994335.109543, 35020500.000000, -16.994671, 35020.498167
149596997036.034088, 29783000.000000, -8.891898, 29782.999410
227938998723.465149, 24007500.000000, -3.829605, 24007.499866
778478999890.588867, 13069700.000000, -0.328234, 13069.699998
1433529999967.575195, 9680000.000000, -0.097274, 9680.000000
2872459999991.938477, 6835000.000000, -0.024185, 6835.000000
4495059999996.708984, 5477000.000000, -0.009872, 5477.000000

0.843922, 0.000022, 0.001125, 0.000000
57908881318.004341, 94799967.618163, -158.242660, 47399.919045
108207966010.657852, 70040996.333014, -45.319123, 35020.490833
149596982216.204681, 59565998.819802, -23.711727, 29782.997050
227938992340.790833, 48014999.731061, -10.212279, 24007.499328
778478999343.532959, 26139399.996324, -0.875289, 13069.699991
1433529999805.451416, 19359999.999566, -0.259398, 9679.999999
2872459999951.629883, 13669999.999962, -0.064494, 6835.000000
4495059999980.255859, 10953999.999992, -0.026325, 5477.000000

2.391111, 0.000108, 0.002110, 0.000000
57908663734.344635, 142199838.090700, -296.705045, 47399.773327
108207903696.864014, 105061481.665068, -84.973357, 35020.474331
149596949612.579956, 89348994.099010, -44.459489, 29782.991739
227938978298.907349, 72022498.655303, -19.148023, 24007.498117
778478998140.009888, 39209099.981622, -1.641168, 13069.699974
1433529999448.779053, 29039999.997828, -0.486371, 9679.999997
2872459999862.950684, 20504999.999809, -0.120926, 6835.000000
4495059999944.058594, 16430999.999960, -0.049360, 5477.000000

5.063529, 0.000324, 0.003376, 0.000000
57908287907.915054, 189599514.271400, -474.728318, 47399.514270
108207796063.942963, 140081944.995192, -135.957382, 35020.444995
149596893297.227295, 119131982.297029, -71.135184, 29782.982297
227938954044.744873, 96029995.965910, -30.636837, 24007.495966
778478996061.197388, 52278799.944865, -2.625868, 13069.699945
1433529998832.708496, 38719999.993484, -0.778194, 9679.999993
2872459999709.777832, 27339999.999428, -0.193481, 6834.999999
4495059999881.536133, 21907999.999880, -0.078975, 5477.000000

9.142484, 0.000757, 0.004923, 0.000001
57907714277.709312, 236998866.630552, -692.312810, 47399.109491
108207631782.099564, 175102371.655401, -198.271211, 35020.399158
149596807342.212067, 148914958.693062, -103.738816, 29782.967545
227938917025.233307, 120037490.587123, -44.678721, 24007.492604
778478992888.272949, 65348499.871352, -3.829391, 13069.699899
1433529997892.390381, 48399999.984796, -1.134867, 9679.999988
2872459999475.987793, 34174999.998665, -0.282160, 6834.999999
4495059999786.107422, 27384999.999721, -0.115172, 5477.000000

14.909282, 0.001513, 0.006751, 0.000001
57906903282.295166, 284397733.253033, -949.459070, 47398.526602
108207399521.520294, 210122743.310664, -271.914869, 35020.333152
149596685819.596008, 178697917.386107, -142.270388, 29782.946301
227938864687.302124, 144044981.174246, -61.273677, 24007.487763
778478988402.414307, 78418199.742705, -5.251737, 13069.699833
1433529996562.975098, 58079999.969592, -1.556389, 9679.999980
2872459999145.457031, 41009999.997330, -0.386963, 6834.999998
4495059999651.191406, 32861999.999442, -0.157951, 5477.000000

22.645231, 0.002724, 0.008861, 0.000002
57905815359.569611, 331795919.835296, -1246.167918, 47397.733214
108207087952.362564, 245143037.958850, -356.888389, 35020.243310
149596522801.435089, 208480851.294950, -186.729910, 29782.917386
227938794477.880127, 168052466.113639, -80.421704, 24007.481174
778478982384.799072, 91487899.536869, -6.892905, 13069.699743
1433529994779.613037, 67759999.945266, -2.042760, 9679.999970
2872459998702.062012, 47844999.995195, -0.507889, 6834.999997
4495059999470.206055, 38338999.998995, -0.207310, 5476.999999

32.631638, 0.004539, 0.011252, 0.000002
57904410946.459976, 379193199.681039, -1582.440499, 47396.696930
108206685744.741669, 280163229.930653, -453.191824, 35020.125965
149596312359.776947, 238263752.158157, -237.117389, 29782.879620
227938703843.895020, 192059943.522726, -102.122803, 24007.472568
778478974616.604858, 104557599.228114, -8.752895, 13069.699625
1433529992477.454834, 77439999.908776, -2.593981, 9679.999956
2872459998129.679199, 54679999.991991, -0.644938, 6834.999996
4495059999236.570313, 43815999.998326, -0.263251, 5476.999999

45.149814, 0.007133, 0.013925, 0.000003
57902650478.570961, 426589313.695286, -1958.278341, 47395.385348
108206181568.715393, 315183289.889491, -560.825238, 35019.977450
149596048566.657837, 268046610.534060, -293.432839, 29782.831821
227938590232.273193, 216067411.249986, -126.376978, 24007.461676
778478964879.009277, 117627298.787037, -10.831707, 13069.699476
1433529989591.650879, 87119999.856648, -3.210052, 9679.999938
2872459997412.185547, 61514999.987414, -0.798111, 6834.999995
4495059998943.703125, 49292999.997369, -0.325773, 5476.999999

60.481065, 0.010700, 0.016878, 0.000004
57900494389.777527, 473983970.376660, -2373.683404, 47393.766056
108205564094.266174, 350203184.831374, -679.788717, 35019.794098
149595725494.099091, 297829415.800742, -355.676277, 29782.772811
227938451089.939148, 240074866.874957, -153.184229, 24007.448229
778478952953.189941, 130696998.180556, -13.129342, 13069.699292
1433529986057.351563, 96799999.784972, -3.890972, 9679.999916
2872459996533.457520, 68349999.981122, -0.967407, 6834.999993
4495059998585.023438, 54769999.996053, -0.394877, 5476.999998

78.906702, 0.015456, 0.020113, 0.000005
57897903111.763672, 521376845.807584, -2828.658135, 47391.806633
108204821991.280975, 385222878.084730, -810.082369, 35019.572239
149595337214.103149, 327612156.156014, -423.847725, 29782.701408
227938283863.815125, 264082307.708232, -182.544559, 24007.431958
778478938620.324585, 143766697.371914, -15.645800, 13069.699070
1433529981809.707520, 106479999.689404, -4.636741, 9679.999890
