t	Sol_x	Sol_y	Mercurio_x	Mercurio_y	Venus_x	Venus_y	Tierra_x	Tierra_y	Marte_x	Marte_y	Jupiter_x	Jupiter_y	Saturno_x	Saturno_y	Urano_x	Urano_y	Neptuno_x	Neptuno_y	
2.20000	0.00332161	0.00135724	-0.05200389	0.38000100	-0.59335967	-0.40093868	0.28766049	0.95933191	0.73938185	1.33587506	2.05677170	4.79260227	8.50075613	4.32715693	18.93123546	3.13328814	29.96305246	2.50620758	
2.30000	0.00359431	0.00153434	-0.11324951	-0.36230278	0.04009026	-0.71880385	-0.33016193	0.94279178	0.26155695	1.50362464	1.80142646	4.89523071	8.40644134	4.50810536	18.90715490	3.27427267	29.95321288	2.61978942	
2.40000	0.00387259	0.00172425	0.29028608	0.26049167	0.63925164	-0.34284378	-0.81994004	0.56538984	-0.24475808	1.50544240	1.54107627	4.98422846	8.30829164	4.68700204	18.88201534	3.41507445	29.94293733	2.73333330	
2.50000	0.00415680	0.00192808	-0.36279962	-0.09554180	0.62993026	0.36357122	-0.99338222	-0.02838319	-0.72359557	1.34116304	1.27644880	5.05935425	8.20635211	4.86376540	18.85581815	3.55568559	29.93222593	2.84683755	
2.60000	0.00444558	0.00214680	0.38074189	-0.08784612	0.02127347	0.72313711	-0.78360545	-0.61049906	-1.12203620	1.02897137	1.00828304	5.12040568	8.10066956	5.03831483	18.82856478	3.69609823	29.92107886	2.96030053	
2.70000	0.00473748	0.00238074	-0.27481199	0.26049704	-0.60273220	0.38811993	-0.27121537	-0.95740248	-1.39604983	0.60338418	0.73732719	5.16721977	7.99129250	5.21057073	18.80025670	3.83630448	29.90949625	3.07372060	
2.80000	0.00503044	0.00262906	0.14151974	-0.35694896	-0.63800035	-0.32018004	0.34705378	-0.93629722	-1.51534866	0.11143393	0.46433657	5.19967331	7.87827111	5.38045459	18.77089548	3.97629649	29.89747828	3.18709609	
2.90000	0.00532460	0.00288983	0.06954837	0.38129061	-0.04997223	-0.71600436	0.83447100	-0.55575918	-1.46672464	-0.39252095	0.19007150	5.21768316	7.76165724	5.54788895	18.74048272	4.11606642	29.88502511	3.30042537	
3.00000	0.00562114	0.00316303	-0.21785311	-0.30554881	0.59221464	-0.41891116	1.00498466	0.03836071	-1.25550626	-0.85279029	-0.08470481	5.22120637	7.64150433	5.71279750	18.70902007	4.25560644	29.87213692	3.41370679	
3.10000	0.00592083	0.00344965	0.35792434	0.16339209	0.67248556	0.28312659	0.79371678	0.61904675	-0.90497627	-1.21849621	-0.35922840	5.21024028	7.51786747	5.87510512	18.67650925	4.39490870	29.85881389	3.52693870	
3.20000	0.00622325	0.00375227	-0.37265751	0.02634987	0.11448031	0.71702203	0.28135243	0.96441010	-0.45381067	-1.44919229	-0.63273666	5.18482240	7.39080331	6.03473784	18.64295203	4.53396541	29.84505620	3.64011946	
3.30000	0.00652532	0.00407214	0.33754021	-0.19542381	-0.54689302	0.46428470	-0.33626430	0.94204780	0.04818506	-1.51933789	-0.90447043	5.14503026	7.26037007	6.19162296	18.60835024	4.67276876	29.83086404	3.75324742	
3.40000	0.00682449	0.00440844	-0.17877707	0.33758523	-0.67212396	-0.23356909	-0.82237460	0.56005693	0.54557585	-1.42113003	-1.17367612	5.09098115	7.12662748	6.34568904	18.57270576	4.81131096	29.81623762	3.86632093	
3.50000	0.00711886	0.00475927	0.02662899	-0.37823099	-0.13919752	-0.70100916	-0.99005988	-0.03524419	0.98342616	-1.16537419	-1.43960775	5.02283170	6.98963680	6.49686593	18.53602052	4.94958424	29.80117713	3.97933836	
3.60000	0.00740893	0.00512224	0.18498305	0.34662372	0.53569127	-0.48770932	-0.77465087	-0.61516401	1.31337815	-0.78029337	-1.70152897	4.94077739	6.84946075	6.64508483	18.49829652	5.08758083	29.78568279	4.09229805	
3.70000	0.00769592	0.00549745	-0.30029220	-0.21756471	0.70431348	0.19867604	-0.25893710	-0.95694236	1.49900230	-0.30840591	-1.95871509	4.84505198	6.70616351	6.79027830	18.45953581	5.22529299	29.76975481	4.20519837	
3.80000	0.00797985	0.00588554	0.39220909	0.05183096	0.20590357	0.69987538	0.35907245	-0.92971832	1.51982584	0.19817950	-2.21045505	4.73592675	6.55981067	6.93238030	18.41974048	5.36271298	29.75339340	4.31803768	
3.90000	0.00825998	0.00628765	-0.34461894	0.14668677	-0.48209756	0.53340721	0.84276524	-0.54436283	1.37359102	0.68352780	-2.45605334	4.61370976	6.41046921	7.07132620	18.37891270	5.49983308	29.73659880	4.43081432	
4.00000	0.00853414	0.00670358	0.26285572	-0.28335378	-0.69518558	-0.14265982	1.00752061	0.05150177	1.07649754	1.09406083	-2.69483187	4.47874491	6.25820749	7.20705284	18.33705468	5.63664559	29.71937124	4.54352667	
