t,Sol_x,Sol_y,Mercurio_x,Mercurio_y,Venus_x,Venus_y,Tierra_x,Tierra_y,Marte_x,Marte_y,Jupiter_x,Jupiter_y,Saturno_x,Saturno_y,Urano_x,Urano_y,Neptuno_x,Neptuno_y,
2.600000,0.004446,0.002147,0.380742,-0.087846,0.021273,0.723137,-0.783605,-0.610499,-1.122036,1.028971,1.008283,5.120406,8.100670,5.038315,18.828565,3.696098,29.921079,2.960301,
2.700000,0.004737,0.002381,-0.274812,0.260497,-0.602732,0.388120,-0.271215,-0.957402,-1.396050,0.603384,0.737327,5.167220,7.991293,5.210571,18.800257,3.836304,29.909496,3.073721,
2.800000,0.005030,0.002629,0.141520,-0.356949,-0.638000,-0.320180,0.347054,-0.936297,-1.515349,0.111434,0.464337,5.199673,7.878271,5.380455,18.770895,3.976296,29.897478,3.187096,
2.900000,0.005325,0.002890,0.069548,0.381291,-0.049972,-0.716004,0.834471,-0.555759,-1.466725,-0.392521,0.190072,5.217683,7.761657,5.547889,18.740483,4.116066,29.885025,3.300425,
3.000000,0.005621,0.003163,-0.217853,-0.305549,0.592215,-0.418911,1.004985,0.038361,-1.255506,-0.852790,-0.084705,5.221206,7.641504,5.712798,18.709020,4.255606,29.872137,3.413707,
3.100000,0.005921,0.003450,0.357924,0.163392,0.672486,0.283127,0.793717,0.619047,-0.904976,-1.218496,-0.359228,5.210240,7.517867,5.875105,18.676509,4.394909,29.858814,3.526939,
3.200000,0.006223,0.003752,-0.372658,0.026350,0.114480,0.717022,0.281352,0.964410,-0.453811,-1.449192,-0.632737,5.184822,7.390803,6.034738,18.642952,4.533965,29.845056,3.640119,
3.300000,0.006525,0.004072,0.337540,-0.195424,-0.546893,0.464285,-0.336264,0.942048,0.048185,-1.519338,-0.904470,5.145030,7.260370,6.191623,18.608350,4.672769,29.830864,3.753247,
3.400000,0.006824,0.004408,-0.178777,0.337585,-0.672124,-0.233569,-0.822375,0.560057,0.545576,-1.421130,-1.173676,5.090981,7.126627,6.345689,18.572706,4.811311,29.816238,3.866321,
3.500000,0.007119,0.004759,0.026629,-0.378231,-0.139198,-0.701009,-0.990060,-0.035244,0.983426,-1.165374,-1.439608,5.022832,6.989637,6.496866,18.536021,4.949584,29.801177,3.979338,
3.600000,0.007409,0.005122,0.184983,0.346624,0.535691,-0.487709,-0.774651,-0.615164,1.313378,-0.780293,-1.701529,4.940777,6.849461,6.645085,18.498297,5.087581,29.785683,4.092298,
3.700000,0.007696,0.005497,-0.300292,-0.217565,0.704313,0.198676,-0.258937,-0.956942,1.499002,-0.308406,-1.958715,4.845052,6.706164,6.790278,18.459536,5.225293,29.769755,4.205198,
3.800000,0.007980,0.005886,0.392209,0.051831,0.205904,0.699875,0.359072,-0.929718,1.519826,0.198179,-2.210455,4.735927,6.559811,6.932380,18.419740,5.362713,29.753393,4.318038,
