0.000014, 0.000000, 0.000004, 0.000000
57908999998.021965, 478758.417151, -0.593410, 47875.841713
108207999999.433517, 350235.182175, -0.169947, 35023.518217
149596999999.703613, 297870.855683, -0.088919, 29787.085568
227938999999.872345, 241312.676071, -0.038296, 24131.267607
778478999999.989014, 130576.794898, -0.003282, 13057.679490
1433529999999.996826, 96224.588417, -0.000973, 9622.458842
2872459999999.999023, 67977.072967, -0.000242, 6797.707297
4495060000000.000000, 54340.259573, -0.000099, 5434.025957

0.000084, 0.000000, 0.000011, 0.000000
57908999988.131798, 957516.834270, -1.582427, 47875.841707
108207999996.601074, 700470.364346, -0.453191, 35023.518217
149596999998.221619, 595741.711365, -0.237117, 29787.085568
227938999999.234070, 482625.352143, -0.102123, 24131.267607
778478999999.934326, 261153.589796, -0.008753, 13057.679490
1433529999999.980713, 192449.176834, -0.002594, 9622.458842
2872459999999.995117, 135954.145934, -0.000645, 6797.707297
4495059999999.998047, 108680.519147, -0.000263, 5434.025957

0.000239, 0.000000, 0.000021, 0.000000
57908999966.373428, 1436275.251290, -2.967050, 47875.841692
108207999990.369690, 1050705.546506, -0.849734, 35023.518215
149596999994.961243, 893612.567043, -0.444595, 29787.085567
227938999997.829895, 723938.028213, -0.191480, 24131.267607
778478999999.813965, 391730.384694, -0.016412, 13057.679490
1433529999999.945068, 288673.765251, -0.004864, 9622.458842
2872459999999.986328, 203931.218902, -0.001209, 6797.707297
4495059999999.994141, 163020.778720, -0.000494, 5434.025957

0.000506, 0.000000, 0.000034, 0.000000
57908999928.790794, 1915033.668114, -4.747280, 47875.841666
108207999979.606400, 1400940.728644, -1.359574, 35023.518212
149596999989.329712, 1191483.422715, -0.711352, 29787.085567
227938999995.404480, 965250.704282, -0.306368, 24131.267607
778478999999.606079, 522307.179592, -0.026259, 13057.679490
1433529999999.883545, 384898.353668, -0.007782, 9622.458842
2872459999999.971191, 271908.291869, -0.001935, 6797.707297
4495059999999.988281, 217361.038293, -0.000790, 5434.025957

0.000914, 0.000000, 0.000049, 0.000000
57908999871.427826, 2393792.084611, -6.923117, 47875.841625
108207999963.178223, 1751175.910746, -1.982712, 35023.518207
149596999980.734222, 1489354.278374, -1.037388, 29787.085565
227938999991.702515, 1206563.380348, -0.446787, 24131.267606
778478999999.288818, 652883.974489, -0.038294, 13057.679490
1433529999999.789551, 481122.942085, -0.011349, 9622.458842
2872459999999.947754, 339885.364836, -0.002822, 6797.707297
4495059999999.978516, 271701.297867, -0.001152, 5434.025957

0.001491, 0.000000, 0.000068, 0.000000
57908999790.328453, 2872550.500618, -9.494561, 47875.841566
108207999939.952179, 2101411.092792, -2.719147, 35023.518201
149596999968.581970, 1787225.134016, -1.422704, 29787.085563
227938999986.468719, 1447876.056410, -0.612737, 24131.267606
778478999998.840210, 783460.769387, -0.052517, 13057.679490
1433529999999.656494, 577347.530502, -0.015564, 9622.458842
2872459999999.914551, 407862.437803, -0.003870, 6797.707297
4495059999999.964844, 326041.557440, -0.001580, 5434.025957

0.002265, 0.000000, 0.000089, 0.000000
57908999681.536613, 3351308.915937, -12.461611, 47875.841486
108207999908.795288, 2451646.274762, -3.568881, 35023.518192
149596999952.280151, 2085095.989633, -1.867299, 29787.085560
227938999979.447784, 1689188.732466, -0.804217, 24131.267605
778478999998.238403, 914037.564285, -0.068929, 13057.679490
1433529999999.478271, 673572.118919, -0.020428, 9622.458842
2872459999999.870117, 475839.510770, -0.005079, 6797.707297
4495059999999.946289, 380381.817013, -0.002073, 5434.025957

0.003263, 0.000000, 0.000113, 0.000000
57908999541.096237, 3830067.330341, -15.824268, 47875.841382
108207999868.574570, 2801881.456629, -4.531912, 35023.518180
149596999931.235992, 2382966.845217, -2.371173, 29787.085556
227938999970.384399, 1930501.408514, -1.021228, 24131.267604
778478999997.461548, 1044614.359183, -0.087529, 13057.679490
1433529999999.248047, 769796.707336, -0.025940, 9622.458842
2872459999999.812988, 543816.583738, -0.006449, 6797.707297
4495059999999.922852, 434722.076586, -0.002633, 5434.025957

0.004515, 0.000000, 0.000139, 0.000000
57908999365.051254, 4308825.743568, -19.582531, 47875.841249
108207999818.157043, 3152116.638364, -5.608242, 35023.518165
149596999904.856689, 2680837.700758, -2.934326, 29787.085551
227938999959.023224, 2171814.084553, -1.263770, 24131.267603
778478999996.487793, 1175191.154080, -0.108317, 13057.679490
1433529999998.959473, 866021.295753, -0.032101, 9622.458842
2872459999999.741211, 611793.656705, -0.007981, 6797.707297
4495059999999.893555, 489062.336160, -0.003258, 5434.025957

0.006048, 0.000000, 0.000169, 0.000000
57908999149.445602, 4787584.155322, -23.736402, 47875.841086
108207999756.409744, 3502351.819933, -6.797869, 35023.518147
149596999872.549469, 2978708.556247, -3.556759, 29787.085546
227938999945.109009, 2413126.760580, -1.531842, 24131.267602
778478999995.295166, 1305767.948977, -0.131293, 13057.679490
1433529999998.605957, 962245.884169, -0.038910, 9622.458842
2872459999999.653320, 679770.729672, -0.009674, 6797.707297
4495059999999.857422, 543402.595733, -0.003949, 5434.025957

0.007891, 0.000000, 0.000201, 0.000000
57908998890.323219, 5266342.565278, -28.285879, 47875.840888
108207999682.199677, 3852587.001301, -8.100793, 35023.518125
149596999833.721527, 3276579.411670, -4.238471, 29787.085538
227938999928.386414, 2654439.436592, -1.825445, 24131.267600
778478999993.861938, 1436344.743875, -0.156458, 13057.679490
1433529999998.181152, 1058470.472586, -0.046367, 9622.458842
2872459999999.547852, 747747.802639, -0.011528, 6797.707297
4495059999999.814453, 597742.855306, -0.004706, 5434.025957

0.010071, 0.000000, 0.000236, 0.000000
57908998583.728027, 5745100.973075, -33.230962, 47875.840652
108207999594.393875, 4202822.182427, -9.517016, 35023.518098
149596999787.780060, 3574450.267016, -4.979463, 29787.085530
227938999908.600128, 2895752.112586, -2.144579, 24131.267598
778478999992.166016, 1566921.538771, -0.183811, 13057.679490
1433529999997.678467, 1154695.061003, -0.054474, 9622.458842
2872459999999.422852, 815724.875607, -0.013544, 6797.707297
4495059999999.763672, 652083.114880, -0.005528, 5434.025957

0.012617, 0.000000, 0.000274, 0.000000
57908998225.703964, 6223859.378321, -38.571653, 47875.840376
108207999491.859360, 4553057.363267, -11.046536, 35023.518067
149596999734.132263, 3872321.122269, -5.779734, 29787.085520
227938999885.494843, 3137064.788559, -2.489243, 24131.267596
778478999990.185669, 1697498.333668, -0.213352, 13057.679490
1433529999997.091553, 1250919.649420, -0.063228, 9622.458842
2872459999999.276855, 883701.948574, -0.015720, 6797.707297
4495059999999.704102, 706423.374453, -0.006417, 5434.025957

0.015556, 0.000000, 0.000315, 0.000000
57908997812.294968, 6702617.780590, -44.307950, 47875.840055
108207999373.463150, 4903292.543774, -12.689355, 35023.518031
149596999672.185364, 4170191.977415, -6.639284, 29787.085508
227938999858.815277, 3378377.464508, -2.859438, 24131.267593
778478999987.898926, 1828075.128564, -0.245081, 13057.679490
1433529999996.413818, 1347144.237837, -0.072631, 9622.458842
2872459999999.108398, 951679.021541, -0.018058, 6797.707297
4495059999999.635742, 760763.634026, -0.007371, 5434.025957

0.018918, 0.000000, 0.000359, 0.000000
57908997339.544968, 7181376.179426, -50.439854, 47875.839687
108207999238.072266, 5253527.723895, -14.445471, 35023.517990
149596999601.346588, 4468062.832437, -7.558113, 29787.085495
227938999828.306091, 3619690.140428, -3.255164, 24131.267590
778478999985.284058, 1958651.923460, -0.278999, 13057.679490
1433529999995.638916, 1443368.826254, -0.082683, 9622.458842
2872459999998.915527, 1019656.094508, -0.020557, 6797.707297
