#T	Eprom	Mprom
2.26	-19.92817	0.40665
2.26	-19.79615	0.40222
2.26	-19.60596	0.39281
2.26	-19.30772	0.35381
2.26	-19.72737	0.39301
2.26	-19.75770	0.41293
2.26	-19.73500	0.40571
2.26	-18.37347	0.33184
2.26	-17.87856	0.27315
2.26	-18.15138	0.32708
2.26	-18.75327	0.37947
2.26	-18.87919	0.37652
2.26	-18.49030	0.34324
2.26	-18.38030	0.36092
2.26	-17.46680	0.32248
2.26	-18.23542	0.36322
2.26	-17.53644	0.32550
2.26	-17.36414	0.31209
2.26	-18.13941	0.36793
2.26	-17.64527	0.33440
2.26	-17.85476	0.32635
2.26	-17.47266	0.29307
2.26	-16.73923	0.25027
2.26	-17.55464	0.34605
2.26	-17.74495	0.36240
2.26	-17.62009	0.36320
2.26	-17.25623	0.34585
2.26	-16.42761	0.24184
2.26	-16.36897	0.23974
2.26	-15.72781	0.21290
2.26	-16.07000	0.26931
2.26	-16.85438	0.32260
2.26	-16.56312	0.30217
2.26	-15.96475	0.28031
2.26	-16.51273	0.32419
2.26	-16.59638	0.33234
2.26	-16.98937	0.35077
2.26	-16.59013	0.33152
2.26	-16.28714	0.32601
2.26	-16.41298	0.32332
2.26	-15.55593	0.29747
2.26	-16.54079	0.34349
2.26	-16.27895	0.33153
2.26	-15.74603	0.23711
2.26	-14.73913	0.13062
2.26	-14.44797	0.07157
2.26	-14.28552	0.07827
2.26	-14.55845	0.15076
2.26	-15.15043	0.22550
2.26	-15.34026	0.26217
2.26	-15.20729	0.28457
2.26	-14.77941	0.25691
2.26	-15.03681	0.27940
2.26	-15.57372	0.30701
2.26	-15.47933	0.31157
2.26	-15.34075	0.31431
2.26	-15.21636	0.30522
2.26	-15.15012	0.30503
2.26	-15.13246	0.30224
2.26	-14.56457	0.27900
2.26	-14.17821	0.23270
2.26	-14.27709	0.23733
2.26	-14.26823	0.25719
2.26	-14.35213	0.25917
2.26	-14.63216	0.28437
2.26	-14.55044	0.28509
2.26	-14.12603	0.25753
2.26	-14.11209	0.25286
2.26	-14.17638	0.26844
2.26	-14.20847	0.28237
2.26	-14.22547	0.28042
2.26	-13.80436	0.24189
2.26	-13.87535	0.27353
2.26	-14.29761	0.29206
2.26	-14.24108	0.28963
2.26	-14.06590	0.28014
2.26	-13.77603	0.25363
2.26	-13.66205	0.22786
2.26	-13.45167	0.22432
2.26	-13.63245	0.23180
2.26	-13.03098	0.22598
2.26	-13.63341	0.26747
2.26	-13.74403	0.26521
2.26	-13.57100	0.25981
2.26	-13.49807	0.26106
2.26	-13.04074	0.22355
2.26	-13.03471	0.23822
2.26	-13.42447	0.25019
2.26	-13.50409	0.27238
2.26	-13.29411	0.25879
2.26	-13.44507	0.26881
2.26	-13.54166	0.27503
2.26	-13.47899	0.27890
2.26	-13.23785	0.26633
2.26	-13.43700	0.27867
2.26	-13.19886	0.26774
2.26	-12.86156	0.24591
2.26	-12.35124	0.21719
2.26	-12.56986	0.23036
2.26	-12.99677	0.26074
2.26	-13.15832	0.27113
2.26	-12.95247	0.26281
2.26	-12.10056	0.19358
2.26	-11.83709	0.14608
2.26	-11.92869	0.09836
2.26	-11.71698	0.14519
2.26	-11.62164	0.10984
2.26	-11.60246	0.09029
2.26	-11.92585	0.15470
2.26	-11.49871	0.13493
2.26	-11.35311	0.14298
2.26	-12.06923	0.18878
2.26	-12.32577	0.23611
2.26	-12.67773	0.26159
